standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,CALCIUM,Calcium,MINERAL,INFANT,0,6,μg,,200000,1000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,INFANT,7,12,μg,,260000,1500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,CHILD,13,36,μg,700000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,CHILD,37,96,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,97,156,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,157,216,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,217,360,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,361,600,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,601,840,μg,1000000,,2000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,841,9999,μg,1200000,,2000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,97,156,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,157,216,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,217,360,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,361,600,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,601,840,μg,1200000,,2000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,FEMALE,841,9999,μg,1200000,,2000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,PREGNANT,157,216,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,PREGNANT,217,360,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,PREGNANT,361,600,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,LACTATING,157,216,μg,1300000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,LACTATING,217,360,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CALCIUM,Calcium,MINERAL,LACTATING,361,600,μg,1000000,,2500000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,INFANT,0,6,μg,,180000,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,INFANT,7,12,μg,,570000,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,CHILD,13,36,μg,,1500000,2300000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,CHILD,37,96,μg,,1900000,2900000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,97,156,μg,,2300000,3400000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,157,216,μg,,2300000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,217,360,μg,,2300000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,361,600,μg,,2300000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,601,840,μg,,2000000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,841,9999,μg,,1800000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,FEMALE,97,156,μg,,2300000,3400000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,FEMALE,157,216,μg,,2300000,3600000,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHLORIDE,Chloride,MINERAL,FEMALE,217,360,μg,,2300000,3600000,rec_elements.csv; upper_elements.csv
